,subject_id,contrast1,contrast2
0,CISC1,-2.3321096932732,-4.99503355648933
1,CISC2,-0.451366974358084,-2.97883982828504
2,CISC3,-1.15018766620297,-5.98746451041229
3,CISC4,-4.31110664528217,-6.84491940908393
4,CISC5,-1.70603102601654,0.305985323878903
5,CISC7,-2.63102024488866,-3.46322376986716
6,CISC9,-5.26817902922886,-9.11122615810969
7,CISC10,-5.5334374577111,-9.37790416773839
8,CISC11,-2.45881019989129,-7.26119987589386
9,CISC12,-3.25576928109514,-6.06463580396768
10,CISC13,-0.668450560661166,-3.1737162658041
11,CISC14,-5.87920289185057,-8.86481846656792
12,CISC15,-5.43756959166415,-8.07152653479818
13,CISC16,-3.08610820426022,-7.52000008981877
14,CISC17,-3.5992617245058,-4.33926091215006
15,CISC18,-3.70497015882136,-7.40883980187837
16,CISC19,0.0076338409039766,1.10390632932974
17,CISC20,-6.33203016801897,-8.591388739301
18,CISC21,-0.410246243933905,-2.82994530471701
19,CISC22,-4.77140943041199,-5.96149936866553
20,CISC23,-3.82139352460166,-7.42435202325747
21,CISC24,-4.65728699456187,-7.22119052782085
22,CISC25,-5.47631639259183,-6.65165933604088
23,CISC27,-2.85281335705539,-7.06203062840136
24,CISC28,-0.466062481938067,-5.75404014385049
25,CISC29,-11.4955446363655,-12.2905237415153
26,CISC30,-0.810043143773254,-2.72027935538066
27,CISC31,-2.90542082272919,-6.53999052136209
28,CISC32,-9.3385822260868,-11.7911329678016
29,CISC33,-5.55934300988266,-11.3182164922096
30,CISC34,-3.18217885450735,-5.12347198372614
31,CISC35,-2.70146978422369,-5.91461565945443
32,CISC37,3.95817857470698,3.16868108167378
33,CISC38,-3.79890412271051,-3.20183069640042
34,CISC39,-3.65352085343424,-3.09326779076072
35,CISC40,-10.1523874331762,-12.6530574763557
36,CISC41,-7.94939844317592,-4.106789992881
